#RPLIDAR SCAN DATA
#COUNT=445
#Angule	Distance	Quality
354.2926 556.0 188
354.9188 555.0 188
355.5615 556.0 188
356.1823 561.0 188
356.8250 571.0 188
357.5885 554.0 188
358.0884 555.0 188
358.9673 554.0 188
359.2145 567.0 188
359.8407 556.0 188
0.7141 556.0 188
1.3403 561.0 188
2.4664 551.0 188
2.9663 558.0 188
3.5925 566.0 188
5.5920 381.0 188
7.3389 563.0 188
8.0914 565.0 188
8.7177 545.0 188
10.3436 400.0 188
11.0907 385.0 188
12.0905 382.0 188
12.4640 379.0 188
13.3429 379.0 188
14.0900 377.0 188
14.5898 376.0 188
15.0897 374.0 188
15.5896 375.0 188
16.5894 374.0 188
17.2156 374.0 188
17.4683 376.0 188
18.0890 378.0 188
18.8580 378.0 188
19.2151 381.0 188
20.1984 379.0 188
20.6873 381.0 188
21.2915 385.0 188
24.0765 475.0 188
46.6699 632.0 188
47.1698 625.0 188
47.9169 614.0 188
48.5266 615.0 188
55.8875 273.0 188
64.6875 221.0 188
65.3247 220.0 188
65.9674 217.0 188
64.7479 309.0 188
67.5275 223.0 188
66.4343 310.0 188
67.5769 319.0 188
67.9669 320.0 188
68.4833 321.0 188
68.9996 323.0 188
70.0104 322.0 188
70.2795 324.0 188
70.9167 323.0 188
71.5594 323.0 188
72.3230 323.0 188
73.3392 323.0 188
73.7292 323.0 188
73.9984 324.0 188
74.7620 324.0 188
75.6519 323.0 188
76.1682 323.0 188
77.1844 323.0 188
77.5745 324.0 188
78.2172 325.0 188
78.9807 324.0 188
79.1400 325.0 188
80.1068 327.0 188
84.5618 552.0 188
87.2150 540.0 188
87.8082 535.0 188
88.4015 536.0 188
88.7476 538.0 188
89.6045 539.0 188
90.1978 541.0 188
90.5438 544.0 188
91.1536 545.0 188
91.7468 547.0 188
92.4664 551.0 188
92.9498 552.0 188
93.5431 556.0 188
94.2627 558.0 188
94.7461 561.0 188
95.4657 565.0 188
96.5259 1091.0 188
97.1356 1090.0 188
97.7618 1093.0 188
98.3881 1094.0 188
98.9978 1095.0 188
99.6240 1096.0 188
100.2448 1099.0 188
100.8545 1101.0 188
101.4807 1104.0 188
102.1069 1107.0 188
102.7167 1109.0 188
103.4637 1091.0 188
103.9636 1099.0 188
104.5734 1107.0 188
105.1996 1110.0 188
105.8258 1122.0 188
106.4355 1151.0 188
107.9187 4893.0 188
109.2810 3822.0 188
109.9017 3888.0 188
110.5280 3387.0 188
111.1377 3250.0 188
111.7639 3185.0 188
112.6373 2293.0 188
112.9999 2977.0 188
114.9994 2718.0 188
115.6201 2670.0 188
116.2463 2603.0 188
116.8726 2540.0 188
117.4988 2500.0 188
118.1250 2461.0 188
118.7457 2442.0 188
119.5148 2338.0 188
120.0146 2429.0 188
120.6354 2469.0 188
121.3879 2029.0 188
122.0142 1971.0 188
122.6404 2295.0 188
123.1403 2309.0 188
123.7610 2270.0 188
124.5300 2243.0 188
125.1563 2212.0 188
125.7770 2178.0 188
126.4032 2134.0 188
127.0294 2102.0 188
127.6556 2075.0 188
128.2764 2051.0 188
128.9026 2020.0 188
129.5453 1994.0 188
130.1715 1974.0 188
130.9186 1736.0 188
131.6711 1574.0 188
132.2919 1574.0 188
132.9181 1547.0 188
133.5443 1526.0 188
134.1705 1521.0 188
134.8077 1536.0 188
135.4175 1550.0 188
136.0437 1589.0 188
136.6534 1610.0 188
137.2797 1624.0 188
137.8894 1648.0 188
138.3893 1664.0 188
138.9990 1689.0 188
139.7461 1587.0 188
140.3558 1516.0 188
140.9821 1503.0 188
141.5918 1489.0 188
142.2180 1482.0 188
142.8278 1468.0 188
143.4485 1465.0 188
144.0582 1466.0 188
144.6844 1478.0 188
145.3107 1485.0 188
145.9204 1491.0 188
146.5466 1512.0 188
147.1509 1529.0 188
147.7771 1532.0 188
148.3868 1538.0 188
149.0131 1546.0 188
149.6228 1560.0 188
150.2490 1568.0 188
150.8588 1578.0 188
151.4795 1582.0 188
152.0892 1593.0 188
153.4515 1438.0 188
154.0778 1434.0 188
154.6985 1418.0 188
155.8246 1482.0 188
160.0928 1840.0 188
160.7135 1810.0 188
161.3397 1831.0 188
161.9659 1825.0 188
162.6086 1828.0 188
163.2294 1816.0 188
163.8556 1814.0 188
164.4818 1803.0 188
165.1080 1804.0 188
165.7343 1797.0 188
166.3550 1797.0 188
166.9977 1794.0 188
167.6239 1793.0 188
168.2446 1797.0 188
170.4968 622.0 188
170.9967 603.0 188
171.8701 600.0 188
172.3865 598.0 188
172.8864 601.0 188
173.6389 597.0 188
174.2651 596.0 188
174.8859 597.0 188
175.6384 599.0 188
176.1548 600.0 188
176.7810 602.0 188
177.2919 604.0 188
177.9346 607.0 188
178.6981 611.0 188
179.1980 616.0 188
179.8407 620.0 188
180.4834 625.0 188
181.1206 635.0 188
181.7468 644.0 188
182.2632 639.0 188
183.1531 635.0 188
183.7958 633.0 188
184.1693 631.0 188
184.9329 632.0 188
185.5756 631.0 188
186.2183 634.0 188
186.7181 633.0 188
187.4817 636.0 188
188.2452 635.0 188
188.7616 639.0 188
189.2615 646.0 188
189.9042 654.0 188
190.6677 656.0 188
191.3104 642.0 188
191.8103 632.0 188
192.7002 618.0 188
193.2166 620.0 188
193.7329 618.0 188
194.4800 618.0 188
195.1227 618.0 188
195.7654 617.0 188
196.5289 621.0 188
197.0123 622.0 188
197.7484 622.0 188
199.0778 740.0 188
199.8248 745.0 188
200.3082 746.0 188
200.9180 753.0 188
201.4014 763.0 188
202.0111 771.0 188
202.7637 777.0 188
203.2471 787.0 188
203.8568 800.0 188
204.3402 852.0 188
204.9500 859.0 188
205.5762 855.0 188
206.1859 871.0 188
206.6693 891.0 188
208.2458 2020.0 188
208.8556 2025.0 188
209.4653 2033.0 188
210.0751 2043.0 188
210.6848 2059.0 188
211.3110 2073.0 188
211.9208 2085.0 188
212.5305 2102.0 188
213.1403 2125.0 188
213.7500 2139.0 188
214.3707 2148.0 188
214.9969 2171.0 188
215.6396 2200.0 188
216.2604 2210.0 188
216.9031 2221.0 188
217.5293 2251.0 188
218.1665 2261.0 188
218.8092 2288.0 188
219.4354 2297.0 188
220.0781 2273.0 188
220.6989 2253.0 188
221.3416 2223.0 188
221.9843 2210.0 188
222.6050 2165.0 188
223.2477 2145.0 188
223.8739 2133.0 188
224.5111 2096.0 188
225.1538 2084.0 188
225.7800 2069.0 188
226.4172 2035.0 188
227.0435 2022.0 188
227.6862 2005.0 188
228.3234 1987.0 188
228.9496 1969.0 188
229.5923 1942.0 188
230.3394 1924.0 188
230.9821 1912.0 188
231.6248 1892.0 188
232.1246 1883.0 188
232.8882 1857.0 188
233.5144 1852.0 188
234.1516 1832.0 188
234.7943 1821.0 188
235.4041 1836.0 188
236.0138 1810.0 188
236.6235 1854.0 188
237.2498 1951.0 188
237.7332 1962.0 188
238.4637 1926.0 188
239.9359 3713.0 188
240.5621 3755.0 188
241.1719 3846.0 188
241.6553 3937.0 188
242.2760 4002.0 188
242.8857 4060.0 188
243.4955 4184.0 188
244.1217 4391.0 188
244.7314 4459.0 188
245.3412 4597.0 188
245.9509 4696.0 188
246.5771 4782.0 188
247.1869 4868.0 188
247.7966 4948.0 188
248.4174 5093.0 188
249.0271 5273.0 188
249.6368 5504.0 188
250.2631 5686.0 188
250.8728 5782.0 188
251.3562 5923.0 188
251.9824 5818.0 188
252.5922 5810.0 188
253.3228 5795.0 188
253.9490 5774.0 188
254.5587 5738.0 188
255.1849 5746.0 188
255.8112 5728.0 188
256.9373 6565.0 188
257.5580 6584.0 188
258.1842 6704.0 188
258.8104 6576.0 188
259.4202 6412.0 188
260.0464 6386.0 188
261.4197 1527.0 188
262.0459 1521.0 188
262.6666 1519.0 188
263.2928 1516.0 188
263.9191 1513.0 188
264.5453 1523.0 188
265.1550 1522.0 188
265.7813 1519.0 188
266.4020 1517.0 188
267.0282 1519.0 188
267.6544 1520.0 188
268.2806 1517.0 188
268.9014 1513.0 188
269.5276 1517.0 188
270.1373 1519.0 188
270.7635 1527.0 188
272.7631 620.0 188
274.7626 586.0 188
275.3888 583.0 188
277.6520 1535.0 188
280.9204 655.0 188
282.9364 629.0 188
283.5736 623.0 188
284.0735 622.0 188
284.8260 622.0 188
285.3424 621.0 188
286.0895 623.0 188
286.5894 627.0 188
287.2321 638.0 188
287.8583 660.0 188
288.3582 669.0 188
288.9954 681.0 188
289.7479 668.0 188
290.2478 669.0 188
290.8905 670.0 188
291.3904 672.0 188
293.2800 680.0 188
295.9167 492.0 188
296.8121 492.0 188
297.1857 495.0 188
297.8119 498.0 188
298.7018 504.0 188
299.2017 510.0 188
299.7015 514.0 188
300.4651 518.0 188
300.9650 527.0 188
301.5912 535.0 188
302.9810 613.0 188
306.0132 919.0 188
306.6559 906.0 188
307.4030 896.0 188
308.0292 883.0 188
308.6719 872.0 188
309.1718 907.0 188
309.9188 844.0 188
310.5615 836.0 188
311.1823 825.0 188
311.9348 816.0 188
312.5775 808.0 188
313.0774 799.0 188
313.9508 791.0 188
314.5935 781.0 188
315.0934 772.0 188
315.8569 761.0 188
317.1094 749.0 188
317.7301 738.0 188
318.3563 735.0 188
319.7296 517.0 188
322.2455 698.0 188
322.8882 692.0 188
323.5144 684.0 188
324.1406 679.0 188
324.8877 673.0 188
325.5139 667.0 188
326.1511 661.0 188
326.7773 658.0 188
327.4036 654.0 188
328.0298 649.0 188
328.6560 645.0 188
329.2767 639.0 188
329.9194 636.0 188
330.5457 633.0 188
331.2927 626.0 188
332.0453 624.0 188
332.6715 620.0 188
333.1824 617.0 188
333.8086 613.0 188
334.4348 611.0 188
335.0610 608.0 188
335.6873 605.0 188
336.3245 602.0 188
337.0770 597.0 188
337.7142 596.0 188
338.4833 592.0 188
338.8733 590.0 188
339.7467 589.0 188
340.3894 584.0 188
340.9058 584.0 188
341.5430 583.0 188
342.1857 579.0 188
342.8119 577.0 188
343.5754 575.0 188
344.2181 574.0 188
344.7290 572.0 188
345.3552 570.0 188
345.9979 568.0 188
346.7615 567.0 188
347.2778 566.0 188
348.1677 565.0 188
348.5468 563.0 188
349.3103 561.0 188
350.4529 477.0 188
351.0901 468.0 188
351.7163 467.0 188
352.4799 466.0 188
352.9962 468.0 188
